devid,device_code,level,parent_devid,remark,substation_code,substation_id,substation_name,to_assets_num,create_date
24597,K0bjcxg1000110,1,0,1#高压进线,bjcx,197,北京创新大厦,g1000110,5/10/2017 13:22:21
24598,K0bjcxg1000220,1,0,2#高压进线,bjcx,197,北京创新大厦,g1000220,5/10/2017 13:22:21
24495,K0bjcxo2010110,2,24597,1号变进线201,bjcx,197,北京创新大厦,o2010110,5/10/2017 13:22:21
24497,K0bjcxo2020220,2,24598,2号变进线202,bjcx,197,北京创新大厦,o2020220,5/10/2017 13:22:21
24496,K0bjcxo2010310,2,24597,3号变进线203,bjcx,197,北京创新大厦,o2010310,5/10/2017 13:22:21
24592,K0bjcxt3030313,3,24496,3#变压器,bjcx,197,北京创新大厦,t3030313,5/10/2017 13:22:21
24591,K0bjcxt3020222,3,24497,2#变压器,bjcx,197,北京创新大厦,t3020222,5/10/2017 13:22:21
24590,K0bjcxt3010111,3,24495,1#变压器,bjcx,197,北京创新大厦,t3010111,5/10/2017 13:22:21
24490,K0bjcxd4010111,4,24590,低压受总401,bjcx,197,北京创新大厦,d4010111,5/10/2017 13:22:21
24491,K0bjcxd4020222,4,24591,低压受总402,bjcx,197,北京创新大厦,d4020222,5/10/2017 13:22:21
24492,K0bjcxd4030313,4,24592,低压受总403,bjcx,197,北京创新大厦,d4030313,5/10/2017 13:22:21
24493,K0bjcxm4010411,4,24590,低压母联4441,bjcx,197,北京创新大厦,m4010411,5/10/2017 13:22:21
24494,K0bjcxm4030513,4,24592,低压母联4442,bjcx,197,北京创新大厦,m4030513,5/10/2017 13:22:21
24498,K0bjcxq5010111,5,24490,创111-备用,bjcx,197,北京创新大厦,q5010111,5/10/2017 13:22:21
24499,K0bjcxl5010211,5,24490,创112-孵化器三区电梯,bjcx,197,北京创新大厦,l5010211,5/10/2017 13:22:21
24500,K0bjcxq5010311,5,24490,创113-备用,bjcx,197,北京创新大厦,q5010311,5/10/2017 13:22:21
24501,K0bjcxq5010411,5,24490,创114-备用,bjcx,197,北京创新大厦,q5010411,5/10/2017 13:22:21
24502,K0bjcxa5010511,5,24490,创115-1#冷水机组,bjcx,197,北京创新大厦,a5010511,5/10/2017 13:22:21
24503,K0bjcxq5010611,5,24490,创121-孵化器三区一层电源,bjcx,197,北京创新大厦,q5010611,5/10/2017 13:22:21
24504,K0bjcxq5010711,5,24490,创122-孵化器三区二层电源,bjcx,197,北京创新大厦,q5010711,5/10/2017 13:22:21
24505,K0bjcxa5010811,5,24490,创123-冷却塔风机电源,bjcx,197,北京创新大厦,a5010811,5/10/2017 13:22:21
24506,K0bjcxq5010911,5,24490,创124-消防泵1#电源,bjcx,197,北京创新大厦,q5010911,5/10/2017 13:22:21
24507,K0bjcxl5011011,5,24490,创125-孵化器三区公共照明,bjcx,197,北京创新大厦,l5011011,5/10/2017 13:22:21
24508,K0bjcxq5011111,5,24490,创126-1#变压器风机电源,bjcx,197,北京创新大厦,q5011111,5/10/2017 13:22:21
24509,K0bjcxq5011211,5,24490,创127-备用,bjcx,197,北京创新大厦,q5011211,5/10/2017 13:22:21
24510,K0bjcxq5011311,5,24490,创128-备用,bjcx,197,北京创新大厦,q5011311,5/10/2017 13:22:21
24511,K0bjcxq5011411,5,24490,创131-孵化器三区三层电源,bjcx,197,北京创新大厦,q5011411,5/10/2017 13:22:21
24512,K0bjcxq5011511,5,24490,创132-孵化器三区四层电源,bjcx,197,北京创新大厦,q5011511,5/10/2017 13:22:21
24513,K0bjcxq5011611,5,24490,创133-备用,bjcx,197,北京创新大厦,q5011611,5/10/2017 13:22:21
24514,K0bjcxl5011711,5,24490,创134-服务楼电梯服务楼动力,bjcx,197,北京创新大厦,l5011711,5/10/2017 13:22:21
24515,K0bjcxq5011811,5,24490,创135-办公楼排烟风机2#,bjcx,197,北京创新大厦,q5011811,5/10/2017 13:22:21
24516,K0bjcxq5011911,5,24490,创136-直流屏电源1#,bjcx,197,北京创新大厦,q5011911,5/10/2017 13:22:21
24517,K0bjcxl5012011,5,24490,创137-高压开关柜照明1#,bjcx,197,北京创新大厦,l5012011,5/10/2017 13:22:21
24518,K0bjcxq5012111,5,24490,创138-备用,bjcx,197,北京创新大厦,q5012111,5/10/2017 13:22:21
24519,K0bjcxl5012211,5,24490,创141-办公楼应急照明电源1#,bjcx,197,北京创新大厦,l5012211,5/10/2017 13:22:21
24520,K0bjcxa5012311,5,24490,创142-服务楼空调,bjcx,197,北京创新大厦,a5012311,5/10/2017 13:22:21
24521,K0bjcxl5012411,5,24490,创143-孵化器二区1-2层及夹层照明,bjcx,197,北京创新大厦,l5012411,5/10/2017 13:22:21
24522,K0bjcxq5012511,5,24490,创144-普天充电桩电源,bjcx,197,北京创新大厦,q5012511,5/10/2017 13:22:21
24523,K0bjcxq5012611,5,24490,创145-备用,bjcx,197,北京创新大厦,q5012611,5/10/2017 13:22:21
24524,K0bjcxq5012711,5,24490,创146-备用,bjcx,197,北京创新大厦,q5012711,5/10/2017 13:22:21
24525,K0bjcxl5012811,5,24490,创147-环网柜照明电源,bjcx,197,北京创新大厦,l5012811,5/10/2017 13:22:21
24526,K0bjcxq5012911,5,24490,创148-普天充电桩电源,bjcx,197,北京创新大厦,q5012911,5/10/2017 13:22:21
24527,K0bjcxl5023022,5,24491,创231-庭院灯,bjcx,197,北京创新大厦,l5023022,5/10/2017 13:22:21
24528,K0bjcxl5023122,5,24491,创232-孵化器1、2、3区楼前路地灯,bjcx,197,北京创新大厦,l5023122,5/10/2017 13:22:21
24529,K0bjcxl5023222,5,24491,创233-特来电充电桩电源路灯照明,bjcx,197,北京创新大厦,l5023222,5/10/2017 13:22:21
24530,K0bjcxl5023322,5,24491,创234-动力中心上方地灯照明,bjcx,197,北京创新大厦,l5023322,5/10/2017 13:22:21
24531,K0bjcxl5023422,5,24491,创235-办公楼前地灯照明,bjcx,197,北京创新大厦,l5023422,5/10/2017 13:22:21
24532,K0bjcxf5023522,5,24491,创236-B三区楼顶亦庄电话局基地,bjcx,197,北京创新大厦,f5023522,5/10/2017 13:22:21
24533,K0bjcxq5023622,5,24491,创237-喷水池电源,bjcx,197,北京创新大厦,q5023622,5/10/2017 13:22:21
24534,K0bjcxa5023722,5,24491,创238-低压室海尔分体空调开关,bjcx,197,北京创新大厦,a5023722,5/10/2017 13:22:21
24535,K0bjcxa5023822,5,24491,创241-冷冻水循环泵,bjcx,197,北京创新大厦,a5023822,5/10/2017 13:22:21
24536,K0bjcxq5023922,5,24491,创242-孵化器三区二层206和美公司,bjcx,197,北京创新大厦,q5023922,5/10/2017 13:22:21
24537,K0bjcxq5024022,5,24491,创243-3#变压器风机电源,bjcx,197,北京创新大厦,q5024022,5/10/2017 13:22:21
24538,K0bjcxl5024122,5,24491,创244-服务楼照明,bjcx,197,北京创新大厦,l5024122,5/10/2017 13:22:21
24539,K0bjcxl5024222,5,24491,创245-高压开关柜照明2#,bjcx,197,北京创新大厦,l5024222,5/10/2017 13:22:21
24540,K0bjcxq5024322,5,24491,创246-孵化器二区中控电源1#,bjcx,197,北京创新大厦,q5024322,5/10/2017 13:22:21
24541,K0bjcxq5024422,5,24491,创247-直流屏电源2#,bjcx,197,北京创新大厦,q5024422,5/10/2017 13:22:21
24542,K0bjcxq5024522,5,24491,创248-孵化器B一区三层309海步,bjcx,197,北京创新大厦,q5024522,5/10/2017 13:22:21
24543,K0bjcxq5024622,5,24491,创251-喷水池电源,bjcx,197,北京创新大厦,q5024622,5/10/2017 13:22:21
24544,K0bjcxq5024722,5,24491,创252-消防泵电源2#,bjcx,197,北京创新大厦,q5024722,5/10/2017 13:22:21
24545,K0bjcxl5024822,5,24491,创253-冷却水循环泵,bjcx,197,北京创新大厦,l5024822,5/10/2017 13:22:21
24546,K0bjcxa5024922,5,24491,创254-1#冷水机组,bjcx,197,北京创新大厦,a5024922,5/10/2017 13:22:21
24547,K0bjcxl5025022,5,24491,创255-办公楼一区电梯,bjcx,197,北京创新大厦,l5025022,5/10/2017 13:22:21
24548,K0bjcxq5025122,5,24491,创256-办公楼排烟风机1#,bjcx,197,北京创新大厦,q5025122,5/10/2017 13:22:21
24549,K0bjcxl5025222,5,24491,创261-办公楼1-3层照明,bjcx,197,北京创新大厦,l5025222,5/10/2017 13:22:21
24550,K0bjcxl5025322,5,24491,创262-办公楼4-6层照明,bjcx,197,北京创新大厦,l5025322,5/10/2017 13:22:21
24551,K0bjcxl5025422,5,24491,创263-办公楼动力,bjcx,197,北京创新大厦,l5025422,5/10/2017 13:22:21
24552,K0bjcxl5025522,5,24491,创264-办公楼应急照明电源2#,bjcx,197,北京创新大厦,l5025522,5/10/2017 13:22:21
24553,K0bjcxl5025622,5,24491,创265-配电室照明电源1#,bjcx,197,北京创新大厦,l5025622,5/10/2017 13:22:21
24554,K0bjcxq5025722,5,24491,创266-孵化器一区四层410海步公司,bjcx,197,北京创新大厦,q5025722,5/10/2017 13:22:21
24555,K0bjcxq5025822,5,24491,创267-备用,bjcx,197,北京创新大厦,q5025822,5/10/2017 13:22:21
24556,K0bjcxq5025922,5,24491,创268-备用,bjcx,197,北京创新大厦,q5025922,5/10/2017 13:22:21
24557,K0bjcxq5036013,5,24492,创331-康沃电器B一区四层,bjcx,197,北京创新大厦,q5036013,5/10/2017 13:22:21
24558,K0bjcxa5036113,5,24492,创332-服务楼空调,bjcx,197,北京创新大厦,a5036113,5/10/2017 13:22:21
24559,K0bjcxa5036213,5,24492,创333-2#冷水机组,bjcx,197,北京创新大厦,a5036213,5/10/2017 13:22:21
24560,K0bjcxl5036313,5,24492,创334-孵化器一区电梯,bjcx,197,北京创新大厦,l5036313,5/10/2017 13:22:21
24561,K0bjcxq5036413,5,24492,创335-备用,bjcx,197,北京创新大厦,q5036413,5/10/2017 13:22:21
24562,K0bjcxq5036513,5,24492,创336-备用,bjcx,197,北京创新大厦,q5036513,5/10/2017 13:22:21
24563,K0bjcxq5036613,5,24492,创337-备用,bjcx,197,北京创新大厦,q5036613,5/10/2017 13:22:21
24564,K0bjcxa5036713,5,24492,创338-送排风机,bjcx,197,北京创新大厦,a5036713,5/10/2017 13:22:21
24565,K0bjcxl5036813,5,24492,创341-孵化器三区112室安百胜动力,bjcx,197,北京创新大厦,l5036813,5/10/2017 13:22:21
24566,K0bjcxq5036913,5,24492,创342-备用,bjcx,197,北京创新大厦,q5036913,5/10/2017 13:22:21
24567,K0bjcxl5037013,5,24492,创343-孵化器一区公共照明,bjcx,197,北京创新大厦,l5037013,5/10/2017 13:22:21
24568,K0bjcxl5037113,5,24492,创344-配电室照明电源2#,bjcx,197,北京创新大厦,l5037113,5/10/2017 13:22:21
24569,K0bjcxq5037213,5,24492,创345-孵化器D座酒楼,bjcx,197,北京创新大厦,q5037213,5/10/2017 13:22:21
24570,K0bjcxq5037313,5,24492,创346-孵化器D座酒楼,bjcx,197,北京创新大厦,q5037313,5/10/2017 13:22:21
24571,K0bjcxq5037413,5,24492,创347-备用,bjcx,197,北京创新大厦,q5037413,5/10/2017 13:22:21
24572,K0bjcxq5037513,5,24492,创348-备用,bjcx,197,北京创新大厦,q5037513,5/10/2017 13:22:21
24573,K0bjcxq5037613,5,24492,创351-备用,bjcx,197,北京创新大厦,q5037613,5/10/2017 13:22:21
24574,K0bjcxq5037713,5,24492,创352-北京银行电源2#,bjcx,197,北京创新大厦,q5037713,5/10/2017 13:22:21
24575,K0bjcxq5037813,5,24492,创353-备用,bjcx,197,北京创新大厦,q5037813,5/10/2017 13:22:21
24576,K0bjcxl5037913,5,24492,创354-办公楼一区电梯电源2#,bjcx,197,北京创新大厦,l5037913,5/10/2017 13:22:21
24577,K0bjcxq5038013,5,24492,创355-2#变压器风机电源,bjcx,197,北京创新大厦,q5038013,5/10/2017 13:22:21
24578,K0bjcxl5038113,5,24492,创356-孵化器二区3-4层照明,bjcx,197,北京创新大厦,l5038113,5/10/2017 13:22:21
24579,K0bjcxf5038213,5,24492,创357-孵化器二区中控电源2#,bjcx,197,北京创新大厦,f5038213,5/10/2017 13:22:21
24580,K0bjcxq5038313,5,24492,创358-孵化器D座酒楼,bjcx,197,北京创新大厦,q5038313,5/10/2017 13:22:21
24581,K0bjcxq5038413,5,24492,创361-孵化器一区一层小物业饭店,bjcx,197,北京创新大厦,q5038413,5/10/2017 13:22:21
24582,K0bjcxq5038513,5,24492,创362-中国工商银行,bjcx,197,北京创新大厦,q5038513,5/10/2017 13:22:21
24583,K0bjcxq5038613,5,24492,创363-孵化器一区二层,bjcx,197,北京创新大厦,q5038613,5/10/2017 13:22:21
24584,K0bjcxq5038713,5,24492,创364-孵化器一区三层,bjcx,197,北京创新大厦,q5038713,5/10/2017 13:22:21
24585,K0bjcxq5038813,5,24492,创365-孵化器一区四层,bjcx,197,北京创新大厦,q5038813,5/10/2017 13:22:21
24586,K0bjcxq5038913,5,24492,创366-A座一层强电间备用,bjcx,197,北京创新大厦,q5038913,5/10/2017 13:22:21
24587,K0bjcxl5039013,5,24492,创367-孵化器一区电梯,bjcx,197,北京创新大厦,l5039013,5/10/2017 13:22:21
24588,K0bjcxq5039113,5,24492,创368-备用,bjcx,197,北京创新大厦,q5039113,5/10/2017 13:22:21
